Wilayah,Bencana & Kehilangan Tempat Tinggal,Dampak Pendidikan & Tempat Tidur,Kebersihan & Aktivitas Pemulihan,Kebutuhan Makan & Aktivitas Fisik,Kehilangan & Trauma Keluarga,Keluhan Fisik & Kesehatan,Kerusakan Rumah & Bantuan,Ketakutan & Dampak Banjir
Aceh Tamiang,4,13,12,18,9,5,8,19
Aceh Utara,10,11,17,19,22,16,15,46
Agam,19,6,15,26,24,20,14,30
"Desa Kuala Penaga, Aceh Tamiang",0,5,13,10,3,9,6,16
"Desa Sekoci, Langkat",6,7,18,16,7,8,8,31
Langsa,3,9,13,19,22,13,13,29
"Nagari Ulakan, Padang Pariaman",3,6,10,3,14,10,9,21
Pidie Jaya,3,8,27,1,3,8,3,20
Sibolga Utara,8,8,12,28,23,47,33,41
Tapsel,6,4,6,26,13,30,12,45
Tapteng,3,12,35,22,21,23,15,33
